creation date;text;classification
16/03/2020;ADARA Releases COVID-19 Resource Center for Travel Brands: Insights Help Travel Brands Stay Up-To-Date on Consumer Travel Behavior Trends https://t.co/PnA797jDKV https://t.co/dQox6uSihz;Positive
16/03/2020;Lines at the grocery store have been unpredictable, but is eating out a safe alternative? ;Negative
16/03/2020;For those who aren't struggling, please consider donating to a food bank or a nonprofit. The demand for these services will increase as COVID-19 impacts jobs, and people's way of life.;Positive
16/03/2020;with 100  nations inficted with  covid  19  the world must  not  play fair with china  100 goverments must demand  china  adopts new guilde  lines on food safty  the  chinese  goverment  is guilty of  being  irosponcible   with life  on a global scale;Extremely Negative
16/03/2020;@10DowningStreet @grantshapps what is being done to ensure food and other essential products are being re-stocked at supermarkets and panic buying actively discouraged? It cannot be left to checkout staff to police the actions of the selfish and profiteer;Negative
16/03/2020;UK #consumer poll indicates the majority expect #covid19's impact to last 4-12 months (at 12 March). We expect this to increase at the next #tracker... See full results of the @RetailX Coronavirus Consumer Confidence Tracker here: https://t.co/K3uJlcjqDB https://t.co/9G3kgqIXJ8;Extremely Positive
16/03/2020;In preparation for higher demand and a potential food shortage, The Hunger Coalition purchased 10 percent more food and implemented new protocols due to the COVID-19 coronavirus. https://t.co/5CecYtLnYn;Negative
16/03/2020;This morning I tested positive for Covid 19. I feel ok, I have no symptoms so far but have been isolated since I found out about my possible exposure to the virus.  Stay home people and be pragmatic. I will keep you updated on how IÂ’m doing ???? No panic. https://t.co/Lg7HVMZglZ;Extremely Negative
16/03/2020;Do you see malicious price increases in NYC? The NYC Department of Consumer and Worker Protection (DCWP) has set up a page to digitally file a complaint. Click here: https://t.co/oEx6Y8mm2K;Positive
16/03/2020;There Is of in the Country  The more empty shelves people see the more buying ensues the more food is out of stock;Negative
16/03/2020;'Hole' Foods...;Positive
16/03/2020;Went to the supermarket yesterday and the toilet paper was gone. Has this anything to do with the Corona virus? #COVID2019;Neutral
16/03/2020;Worried about the impact of the current COVID-19 pandemic on your finances? WeÂ’ve just published some tips to help you manage your money during these challenging times. #COVID19 https://t.co/3jKK3CqXfQ https://t.co/EbEnURmmJS;Positive
16/03/2020;my wife works retail&amp;Neutral
16/03/2020;Now I can go to the supermarket like this without being judged! ? #CoronavirusOutbreak #COVID2019 https://t.co/krTCGiUHQS;Positive
16/03/2020;Curious,  do we think retail shoppers will do a lot of online shopping bc they're home and unable to go out or do we think everyone is too spooked to get that extra pair of shoes? #economy #onlineshopping #coronavirus #covid19 #stayhome;Positive
16/03/2020;CHECK VIDEO ?? https://t.co/1ksn9Brl02 ??No food ? in USA market due to coronavirus panic we gonna die from starvation #CoronavirusOutbreak #coronavirus #houston #nofood #Notoiletpaper #NoHandShakes #nohandsanitizer #COVID19 #pandemic #totallockdown #COVID2019usa #walmart https://t.co/ztN3iMkgpD;Extremely Negative
16/03/2020;Breaking Story: Online clothes shopping rises as people find mysterious white patches forming on clothes. #QuarantineLife #CoronavirusOutbreak #coronavirus #IMadeThisUp #FakeNews https://t.co/5Z24hptT9M;Neutral
16/03/2020;This is the line outside  @Target  in as customers wait for the store to open this morning;Neutral
16/03/2020;South Africans stock up on food, basic goods as coronavirus panic hits https://t.co/6nGNFJmy89;Negative
16/03/2020; Please Share  Know someone who s 65 Living on their own struggling to get 2 their local supermarket due to issues around 19 We re offering FREE deliveries of our healthy soups NATIONWIDE to anyone 65 in need Plus their freezable;Extremely Positive
16/03/2020;Never thought I'd say this, but. 2019, Will you come back!? PLEASE! #coronavirus #COVID19 #peoplearelosingtheirminds #StopTheMadness #stoppanicbuying;Extremely Positive
16/03/2020;"""Everything we're seeing in the current COVID-19 outbreak has been seen before in previous epidemics and pandemics""";Positive
16/03/2020;Why we stock up on water... cause utility companies will shut you off in the middle of a pandemic... the schools close thier doors, you lose out on work cause your kid has no where to go... and you canÂ’t afford months worth of food. #coronavirus @SenatorRomney https://t.co/0CV0793olS;Negative
16/03/2020;Global food prices before the spread of COVID 19 intensified across several geographies We could see further downward pressures in the coming months due to continued well supplied markets and the negative impact on demand resulting from the virus;Extremely Negative
16/03/2020;Morning everyone have a great and safe day. ??? #coronavirus #StopPanicBuying #BeKind #mufc #MUFC_Family;Extremely Positive
16/03/2020;Of all the things to panic buy in an emergency, I don't get why toilet paper is so important. If you're afraid of the worst case scenario, just wash up in the tub and use your money on food. Y'all crazy. #coronavirus;Extremely Negative
16/03/2020;With the outbreak of Covid-19 in entire world, the retail shops in Malaysia is facing a great challenges. In the near future, online shopping will be a surprise way for all the people while many will lost their jobs. #Malaysia2020 #Malaysia #COVID?19;Extremely Positive
16/03/2020;"So, are we feeling like it's ethical to still do stuff like order deliveries (food, online shopping, etc.), ship ""isolation"" care packages to loved ones, etc.? #COVID2019";Extremely Positive
16/03/2020;What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives https://t.co/Ybg8Zupdf6 via @pymnts;Neutral
16/03/2020;Bought a house during Covid-19 panic. DidnÂ’t think to buy food for the house. Tragic.;Extremely Negative
16/03/2020;Seen in a Facebook group - businesses need to stop increasing prices on essentials while we are in an emergency situation - itÂ’s frankly despicable and is totally void community spirit! #nameandshame #covid?19uk #coronavirus #Liverpool https://t.co/StTAkyqQiZ;Negative
16/03/2020;@BobJLowe Sadly those are the misinformed thinking that COVID-19 gives diarrhoea, therefore they had to stock-pile toilet papers. ? ATM, hygiene and food are more important.;Negative
16/03/2020;@TinaMcCauley70 Yeah my parents are risky people to the covid 19 thatÂ’s why we stay at home just go to the supermarket when really necessary.. stay safe too ....;Positive
16/03/2020;Hi, COVID-19. Thanks for making me do more online shopping.;Positive
16/03/2020;Pausing student loan payments in addition to halting interest accumulation amp stopping punitive student loan collections would provide much needed immediate relief to those individuals unable to work amp are facing economic hardship;Neutral
16/03/2020;@balajis On the consumer side - the tech is there (some Chinese group already demostrated ELISA test strips for COVID-19, though details were lacking). For consumer though @US_FDA would have to deem it as a waived test, which doesnÂ’t come that easily;Positive
16/03/2020;Lost wages either due to illness from 19 or to the virus  economic impact will mean an increased demand We urge and to support a bill that includes support for food banks flexibility for and school meals and increased;Extremely Positive
16/03/2020;The actions of some are so selfish. If I were CEO of a grocery store, from 7-9 am would be a time for people over 65 to shop;Positive
16/03/2020;Coronavirus poses a complex puzzle for food-delivery companies - their delivery capacity may buckle under surging demand. https://t.co/1C1cMLmQii via @WSJ #services #food #delivery #coronavirus;Negative
16/03/2020;@TheJoshuaTurner @Loreign83 @peanut_astro @my_amigouk @afneil @BorisJohnson @patel4witham This is both disgusting and disgraceful charging over inflated prices for items for stopping the spread of COVID-19, the government really needs to do something abou;Extremely Negative
16/03/2020;As more retailers close physical stores or curtail hours as a result of Covid-19, it is agoing to put additional pressure on other omnichannel alternatives like grocery delivery and curbside pick up.  https://t.co/kgyDow3Nrz #covid19 #ecommerce #omnichannel #retail #digital;Positive
16/03/2020;I work in retail I keep stock back for our older customers so when such as frank comes in store for his bread and he sees a empty shelve I say donÂ’t worry pal IÂ’ve saved you 1. Same as pat n her beans. Could I get disciplined? Yes do I care ? No IÂ’ve got a ?? #coronavirus;Positive
16/03/2020;In attempts to lengthen runways marketing budgets are being slashed hiring is being frozen and staffing matrices are being redrawn and dive deep into how consumer startups are battling the impact of on their business;Negative
16/03/2020;Please don't hoard food and water. There's absolutely no need to panic buy;Positive
16/03/2020;Just called mum and dad in UK (over 70). They are great but I offered help with online shopping etc. We might sometimes forget that this is not always easy.;Positive
16/03/2020;People seen stocking up on goods into trolleys after the panic buying rumours spread today at hypermarket in Kajang March 16 2020 Picture by Shafwan Zaidon;Negative
16/03/2020;As we often see during major news events, criminals will try to take advantage of any situation. The Coronavirus, or COVID-19, is no exception. Here is some guidance from the Attorney General's office: https://t.co/KT5J4QqCwS;Negative
16/03/2020;Pretty sure within a week or two, supermarket supply chains will dry up as more counties are effected by Covid-19 (and possibly go into lockdown). If so, would the government introduce a form of rationing so that people can eat? Somehow I don't think so.;Extremely Positive
16/03/2020;I followed this when I went shopping a few days ago. It's a pain but necessary! Protect Yourself From Grocery Shopping - Consumer Reports #COVID2019 #StayHealthy https://t.co/48nG14me6E;Positive
16/03/2020;@joncoopertweets I took these pictures today at my home grocery store in Montgomery County, MD. No flour, sugar, sweet potatoes, potatoes, orange juice, paper towels, or toilet paper. Low on meat, mac &amp;Negative
16/03/2020;I hate grocery shopping in general but I swear IÂ’m doing it online next shop, can not deal with the swathes of panic buyers at all! #COVID?19 #coronavirus #coronavirusuk #anxiety #panicbuyinguk #morons;Extremely Negative
16/03/2020;Rapid delivery food order made (since no slots elsewhere for weeks). All seemed fine until email listing what was out of stock. They are about to deliver...one bottle of orange juice! #coronavirus #panicbuying #whatashitshow;Negative
16/03/2020;This also needs to be said: going to the grocery store cannot be done completely safely. Meaning, without the risk of getting the #coronavirus or of spreading it. You can reduce risk by staying more than 6 ft from other people &amp;Negative
16/03/2020;You know it's the end of the world when @BootsUK Surgical Spirit is out of stock online and (won't be receiving any further stock) - How am I supposed to disinfect my hands now ? #coronavirus #coronapocolypse #panic #shopping https://t.co/iQIpUz50Sc;Extremely Positive
16/03/2020;This is getting real in my world and I know itÂ’s been real in so many worlds. If you can, please sign this petition for food and bev people in Colorado!? https://t.co/xnmgljLOsV;Positive
16/03/2020;Amid 'social distancing' during COVID-19 crisis, Starbucks moves to 'to-go' only https://t.co/HbJDKnjPrD;Extremely Negative
16/03/2020;A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older. https://t.co/6B0xjUUI0G;Positive
16/03/2020;A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older.? https://t.co/U3An6bnU5L;Positive
16/03/2020;They should have something where the elderly and the people (who don't stock up a ton of food, essentials) can buy what they need first,  then  the more greedy and panick buyers can get what they need. ?? #stoppanickbuying #thinkingofothers #coronavirus #COVID19;Negative
16/03/2020;Kids Get Mild COVID-19 Symptoms, But Chance of Transmission High: Study https://t.co/MKxFtAk74d;Positive
16/03/2020;New @CSPI consumerÂ’s guide examines how 20 largest restaurant chains by sales are handling paid sick leave during COVID-19 pandemic. Results not good: 60% didnÂ’t disclose any paid leave policy and only 3 chains offer sick leave at all locations nationwide https://t.co/YPJClnpMi2;Extremely Negative
16/03/2020;@AirCanada very poor customer service if you let the algorithms run the prices up in states of emergency and do not refund the cost. Also very poor staffing @Airport_FRA #COVID2019;Extremely Negative
16/03/2020;If you temporarily lost your job, check out Amazon. They are hiring to handle surge of coronavirus related buying. https://t.co/xQq7wqaGid;Negative
16/03/2020;"@cgafun @DanielAndrewsMP My daughter is 16, and has stories like that from her friends with supermarket jobs. One of them said ""Why do adults act like COVID-19 is my fault?"". Or having to stand up to a middle-aged woman who refused to put back 5 boxes of ";Positive
16/03/2020;Currently self isolating as IÂ’m symptomatic. Thinking how to support elderly neighbour/ friend. IÂ’ve done her online shopping for her (agreed it over the phone!) and calling her daily! We might even attempt a skype video call... #unitedagainstdementia #coronavirus  @alzheimerssoc;Extremely Positive
16/03/2020;If youÂ’re the people walking into retail stores... youÂ’re the problem. YouÂ’re responsible for making this shit spread. Feel guilty, stop shopping. Online shopping is available from home. #coronavirus #retail #Covid19Walkout;Extremely Negative
16/03/2020;#unpopularopinion You'll be able to tell how much a community understands of the restricted movement order by how empty their supermarket shelves are. #COVID2019 #Malaysia2020;Negative
16/03/2020;Will katie and I be moving in this weekend amongst the COVID 19 panic Yes Will have food or toilet paper No Will we have any self respect Also no but at least we ll have each other;Negative
16/03/2020;We need more of this to help seniors #CoronavirusOutbreak https://t.co/D09B71I699;Positive
16/03/2020;FYI it s called the not the Chinese Virus Notice nasty mentions supporting industries to help his stock market trump s still trying to CUT Medicare amp Social Security benefits food stamps AND remove pre existing conditions coverage from ACA;Extremely Positive
16/03/2020;Stores in Charlotte continue to voluntarily shut their doors due to #coronavirus concerns. This is a tough decision, but one many stores deem necessary. Remember, when possible, online shopping is an option if you still want to support businesses @SpecNewsCLT https://t.co/hrCCohkFWE;Positive
16/03/2020;@HEB I like shopping at H-E-B and am a fan. Appreciate your efforts to limit food shortage &amp;Positive
16/03/2020;Spark s Manila call centre is closing to help prevent the spread of Covid 19 Calls will be routed to NZ based help deskers instead Spark is asking for patience with calls and that people use the MySpark app or visit a retail store;Extremely Positive
16/03/2020;I feel like I won the #lottery just now. How much is this worth on the #stockmarket #toiletpaper #Arizona #coronavirus #StopPanicBuying #FoxNews #fox10phoenix https://t.co/PLJCt49ik7;Extremely Positive
16/03/2020;it's a bad habit i'm definitely guilty of but all OR/hospital staff definitely need to avoid wearing #scrubs in public. especially now, nobody wants to see that at the grocery store! ?#covid19 #Medtwitter #coronavirus;Negative
16/03/2020;I've not been able to get Doggo's food, not due to panic buying, due to european supply issues caused by Covid-19.... Have ordered from Amazon but paid Â£20 more, wonder if I'll get this or not. If not Doggo is on rations!;Positive
16/03/2020;IÂ’ve been online shopping for the past 2 days now #coronavirus;Neutral
16/03/2020;When the government says to start social distancing, but you work retail so you can't just not talk to customers in the store lol fml I'm 100% going to catch covid-19;Positive
16/03/2020;Cleanshelf supermarket Sanitizers 19;Neutral
16/03/2020;@Walmart @Target @kroger increase your workers for your online shopping and add more time slots for pick up and delivery... and hire workers for a short time from other business being shut down! #WINWIN #coronavirus #stayindoorsandshop;Positive
16/03/2020;Thank you @NorthgateGlzMrk for taking care of our abuelos/as! https://t.co/nWmxYoOMHf;Extremely Positive
16/03/2020;Also, to the people stocking up on soap, hand sanitiser and toilet roll, leaving the shelves empty the rest of us. You do realise to stop the spread of #coronavirus other people need to be able to wash their hands too...;Negative
16/03/2020;My 79 (nearly 80) year old nana hasnÂ’t stock piled food or toilet rolls. But...she has stocked her cupboard up with two full tubs of horlicks #Priorities #CoronaVirus ?? https://t.co/MRK7r62Fv5;Neutral
16/03/2020;If a person doesnÂ’t have the capability to do online shopping, I would encourage for a relative / friend / acquaintance to do the shopping for them (if out of city / state / country) and have them as alternate pick up person. #coronavirus #CoronavirusOutbreak #Covid_19;Extremely Positive
16/03/2020;Televangelists are making a killing from the CoVID 19 panic. TheyÂ’re selling their Â“survivalÂ” meals for $750 for 60 days worth of food. ?? IÂ’m almost sure it was at least $200 cheaper two months ago.;Extremely Negative
16/03/2020;.@bbchealth  How can someone in a high-risk group distance against #COVID-19 when not enough drivers to deliver online shopping &amp;Positive
16/03/2020;Actual footage of me trying to go to the grocery store this weekend. IÂ’m not sure what yÂ’all doing with all the toilet paper but please remember weÂ’re all in this together. #panicbuyers #coronavirus https://t.co/73WwtXqvT3;Positive
16/03/2020;So, I've seen this BS pop up all over Facebook in various community groups.  You cannot call the toll free number on a can of infant formula, tell them you cannot find formula at a retail store due to COVID-19, and they'll send you a full case of free formula.  IT IS A HOAX!!! https://t.co/2CyxHEaCEZ;Extremely Positive
16/03/2020;FYI: I checked out the freeze dried food companies. Seems everyone is sold out, or out of stock, or backlogged for weeks. #coronavirus;Positive
16/03/2020;Although panic stockpiling may have left shelves empty, there may be some silver linings in the #coronavirus cloud such as a rise in online grocery shopping, deliveries, drive-thrus and services like post-mates! @TheSpoonTech;Neutral
16/03/2020;Went to the store today. Most canned food is gone. We needed toilet paper and actually got a pack of 12 rolls. We got milk and cat treats as well. Thank god for Save on Foods for still having some stuff. ;Neutral
16/03/2020;And if you work at supermarket store you live paycheck to paycheck ????? #COVID2019;Neutral
16/03/2020;What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives - https://t.co/hG5vYrH02L;Neutral
16/03/2020;"What's the plan for supplying food @BorisJohnson? The panic buying is crazy and the supermarkets have no slots for delivery. Rationing seems sensible. You can't ""suggest"" (how feeble) we self-isolate for months without telling us how we'll eat. #coronavirus";Extremely Negative
16/03/2020;Consumer-debt holding organizations: Debt Relief for American households impacted by COVID-19 response - Sign the Petition! https://t.co/r6fjiK6Xxh via @Change;Negative
16/03/2020;Taken by Henk Zwoferink on Saturday in WÃ¶rgl, our black beauty hauled a train bringing the last tourists home. Our colleagues are #workinghard to keep supply chains running while respecting the measures to ensure everyone's #safety. A pleasure to work with such #DedicatedPeople! https://t.co/EoXT7Q43ZB;Extremely Positive
16/03/2020;Is it safe to work here amid coronavirus? https://t.co/hmqwl0JCo8 via @phillyinquirer;Positive
16/03/2020;Americans Stock Up On Food as COVID-19 Concerns Rise. the only thing i bought on this list is a few extra boxes of pasta...https://t.co/C0z5g5aTmj;Neutral
16/03/2020;@Nordstrom Rack stores making efforts in Washington St market to drive store sales this weekend $JWN #retail #retailapocalypse2020 #coronavirus #retailnews https://t.co/9dfkB2NuCr;Neutral
16/03/2020;How to Avoid Coronavirus Phishing Scams - Consumer Reports https://t.co/D166pdSHLM #covid-19 #Coronavirus #coronavirus #Coronavirusupdate #Coronapocolypse;Extremely Negative
16/03/2020;If you have any updates from grocery stores or any shopping experiences from this weekend or today....let us know! Which store still has what in stock? What are they out of?? #COVID19 #Coronavirus #LOTL;Neutral
16/03/2020;An important update for our fans regarding COVID-19 and our retail store in Occoquan. #mandrilltoys #covid19 #coronavirus https://t.co/oPBmwc1qI1;Positive
16/03/2020;Pregnant women should make sure their vaccinations are up to date, wash their hands frequently, stay away from people who are coughing;Positive
16/03/2020;How about free delivery and no service fee for seniors ordering online?&gt;Neutral
16/03/2020;Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry #Food #coronavirus #foodshortage #foodsecurity #Stockpile     https://t.co/dPKEeIeQJq https://t.co/lGKg1wYzKg;Neutral
16/03/2020;@MarkHoplamazian Your letter 3/13/20 was just sad.  Your Hotel's response to covid-19 has been the worst of any vendor associated with @marchmadness No fault of the consumer, yet a room costing $2,230.58 for 4 nights, you're willing to offer 10,000 hyatt ;Extremely Negative
16/03/2020;#Ulta temporarily shuts down in-#store #services amid #coronavirus fears https://t.co/uPEcwUXjz5 via @RetailDive #retail #brickandmortar #cosmetics #pandemic #COVID-19;Negative
16/03/2020;There will be casualties Retail store closures in the US could explode because of the from;Neutral
16/03/2020;To 'The Stock Pilers'.. I hope you drop every fucking bog roll down the toilet, I hope all the food you bought goes off, I hope you eat that gone off food and get sick with something 10 times worse than #coronavirus . You selfish pricks. #coronapocolypse #COVID_19uk #shopping;Negative
16/03/2020;Meanwhile In #Canada, Couple Cleans Out Entire #Meat Section Of Store! https://t.co/T897aWGGvk via @YouTube #hoarding   #coronavirus #nomestleft;Neutral
16/03/2020;The whole store was ransacked. Thank you to all the retail workers. Can't imagine the craziness you have to deal with right now. #coronavirus #panicshopping #RetailWorkers https://t.co/ovnQp051VW;Neutral
16/03/2020;Since my kid (a high schooler, btw) who is a grocery store cashier is apparently a critical infrastructure employee all of a sudden, it would be nice if the pay reflected that risk. #Covid_19;Negative
16/03/2020;UK consumers are already making small but significant changes to how they socialise and shop in response to #covid19. Full 1000-person survey results by @RetailX: https://t.co/MfRr4JVcD8 #covid19 #shopping #ecommerce #retail #socialdistance #socialdistance #socialising #uk https://t.co/FYHzGPUm6q;Positive
16/03/2020;This is just a way to spread mass hysteria and panic and is what leads to people buying out the shelves and causing shortages. The National Guard wonÂ’t be placing a military lockdown. Should you have some extra food and supplies just in case the stores get raided? Yes. #COVID2019;Negative
16/03/2020;If you find yourself needing work, food delivery driver seems like it is going to be in high demand, considering all the states banning dinning out. #coronapocolypse #coronavirus #StayHome;Positive
16/03/2020;(1/2) Shame on @news4buffalo and @ChrisHorvatits4 for the their leading story of a Tops employee having COVID-19. The way the story lead in heavily implied a supermarket worker when it was in fact a corporate employee who had no interaction in a store with the general public.;Negative
16/03/2020;#DTC brands have been looking toward brick and mortar #stores as a way to facilitate growth, but because of #coronavirus, thatÂ’s changing - https://t.co/5vufzrkiJg;Positive
16/03/2020;@NEWS1130 One question I have. What happens now since most of the manufactures have closed down their plants during Covid 19 shutdowns and many aren't making any food in plants during the shut down. How will grocery stores get new stock ??;Neutral
16/03/2020;Hyvee always thanks itÂ’s shoppers for shopping. Hyvee, Sunday, March, 15, 2020, in Blue Springs, Missouri. However, as COVID-19 develops will shoppers begin to take advantage of online and delivery forms of obtaining their every day needs? https://t.co/yKgrv3vBPQ;Positive
16/03/2020;@ASDA @Tesco @Morrisons @sainsburys donÂ’t you think itÂ’s about time you reduce your minimum online shopping basket from Â£40 as you donÂ’t have the product in stock that people need. I think you forgot about us single disabled people. Put your customers;Neutral
16/03/2020;Wish I was physic so I could have predicted how much sanitizer and toilet paper I would need before this got real.  #stopPanicBuying #coronavirus;Positive
16/03/2020;Between US air strikes and the #COVID_19 crisis, the Iraqi government may find itself dealing with its greatest governance challenge since the 2014 ISIS invasion. @MiddleEastEye https://t.co/DVthW3RTRj;Negative
16/03/2020;No toilet paper at my local grocery store for almost a week now?!! What is the real crisis in south Florida ?  #toiletpaper? Or the #coronavirus? https://t.co/PPlOCvB8To;Extremely Negative
16/03/2020;With the Coronavirus going out and shopping for groceries might not be the best Check out this list of great online alternatives that deliver right to your door;Positive
16/03/2020;What's a good way to support grocery store, medical, and hospital staff during this time? I would normally think of something along the lines of ordering everyone pizza, but that doesn't seem like a great idea about now... #COVID2019 #COVID19 #COVID?19;Extremely Positive
16/03/2020;The rapid spread of #COVID19 leaves the fate of many announced consumer #MnA deals in jeopardy as the public markets fluctuate and consumers are encouraged to avoid places of public gathering. https://t.co/fNktRdwDp0;Negative
16/03/2020;"@AirenAngel_10 madam baka di nyo naranasan ang ""no work no pay"" or isang kahig isang tuka, thats why someone still trying to go to work. Realizing not all can have at least one week of food stock. Hoping covid-19 will leave our country...";Negative
16/03/2020;Please read this thread;Positive
16/03/2020;Good read for those worried about or participating in grocery store runs during #coronavirus. In an era of lean, it's difficult to accommodate huge discrete surges in demand at stores, but the supply chain is still strong. via @nytimes :  https://t.co/6Tt8TQL1SD;Extremely Positive
16/03/2020;In an unprecedented move for US retailers, many are opting to indefinitely shut their doors to prevent the spread of the novel #coronavirus in the US.Â Others like Walmart are reducing their hours. #retail  https://t.co/6S6KGQbT6B;Positive
16/03/2020;Just got home from the supermarket. Panic buying is real. And it was in the middle of the afternoon. Bet the queues will be longer after work hours ? #COVID2019 #COVID?19;Negative
16/03/2020;Learn how US consumers and industries including food and drink, beauty, retail, and health and wellness are reacting to the #COVID19 pandemic: https://t.co/0CScQX1NZ5 #marketresearch #consumerinsights;Extremely Positive
16/03/2020;please help us stock some food coz we are in danger of this near by crisis of covid 19 which is now in our neighbouring country Kenya though we are just requesting to anyone who can manage to help us with anything small coz we want to stock food at the orphanage;Negative
16/03/2020;Mountain America members, if you've been financially impacted by COVID-19, @mountainamericacu may have loan relief options to help you with your unique situation. Visit https://t.co/zXGHDe3rTx to learn more. https://t.co/vbBEdG864U;Extremely Positive
16/03/2020;MPE prepared to continue providing safe and reliable electric service, adopts COVID-19 consumer and employee safety measures. READ MORE: https://t.co/eXnYpE4gEx https://t.co/GnjqUgg05t;Extremely Positive
16/03/2020;Binge shopping online #QuarantineLife #coronavirus;Neutral
16/03/2020;For a long time we could only dream of what Reid s Distillery would look like It s hard to overstate the impact of COVID 19 on us and all the other small businesses The best ways to support is to enjoy Reid s Gin at home Our retail store is now open everyday 11AM 11PM;Extremely Positive
16/03/2020;5 ways coronavirus is changing millennials' money habits more than any other generation https://t.co/7H1zK1rrCX noi paghiamo con carta credito o con #satispay #coronavirus  (molti acquisti online);Neutral
16/03/2020;@no_silenced  hello brother's and sister's let's connect hands and support those children's stock food at the orphanage mainly because we are afraid of the covid 19 crisis which is taking place on our neighbouring countries Kenya and DRC Congo please help;Positive
16/03/2020;Social distancing to prevent the spread of coronavirus could have devastating effect on people with depression. https://t.co/rlJ1MaaxgI;Extremely Negative
16/03/2020;Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak #COVID?19 #coronavirus #zakat https://t.co/lPSQj06t3T;Positive
16/03/2020;Due to fear of #COVID2019 people have started hoarding items of daily use. This will impact the regular level of supply in markets , if these commodities will disappear from markets it will create shortage and prices will go up. Then people will start cursing government.;Extremely Negative
16/03/2020;people are dying from covid-19 but people will also be dying when they canÂ’t afford where they live and when they canÂ’t afford food for their children, let alone themselves. People deserve to be able to not panic at the thought of the nation going to shit. People deserve to live.;Negative
16/03/2020;.#Amazon says the #coronavirus outbreak has caused a surge in online shopping, and now the online giant is adding 100,000 new full-time and part-time positions across the United States to keep up with the demand, reported CNN. https://t.co/qUggNX1ldf;Positive
16/03/2020;Consumer response to #cannabisindustry during #covid-19. Most importantly there is a prioritizing of medical marijuana patients https://t.co/7DnW0vZeya;Positive
16/03/2020;Got to the grocery store amp had to call my wife Which bread did you want me to grab;Positive
16/03/2020;We'll be tracking the effect of #coronavirus on the #retail industry every step of the way. Read our first #COVID19 blog and stay tuned for updates every Monday, Wednesday, and Friday! https://t.co/QxVKFGS4th #DigitalMarketing;Neutral
16/03/2020;Consumer Alert: Be aware of bogus COVID-19 home test kits - https://t.co/LiDFrOXWzL #COVID19 #Coronavirus #news965 #wdbo https://t.co/VdHP3oJg0z;Positive
16/03/2020;@Amazon says it needs to hire 100,000 people across the U.S. to keep up with a crush of orders as the #coronavirus spreads and keeps more people at home, shopping online. https://t.co/YE2DB6demN (via@ABC) #jobs #hiring;Negative
16/03/2020;Covid-19:  No need for panic buying, food available at all times Â– PM assures - https://t.co/Aw9tEk4hgm https://t.co/loCVUacyDO;Negative
16/03/2020;"#stopthespread ""Research has shown that the faster authorities moved to implement the kinds of #socialdistancing measures designed to slow the transmission of disease, the more lives were saved."" Great read via @NPR ?? https://t.co/0QcNWNSwgm";Extremely Positive
